canton,city,name_fr,cuisine_type,price_range,avg_rating,review_count,phone,email,website,is_published,is_featured,claim_status,address,postal_code,slug,id,merchant_id
berne,Berne,Altes Tramdepot,suisse,2,5,5,+41 31 368 14 15,,https://altestramdepot.ch,true,false,unclaimed,Grosser Muristalden 6,3006,altes-tramdepot-bern,6f1de2b9-3a3b-4175-9996-9e9fe284d97b,
berne,Bern,Artigiano Pizzeria Napoletana Bern,italien,2,4.4,467,+41 31 525 38 39,basel@artigiano-pizzeria.com,https://www.artigiano-pizzeria.com/restaurant-bern,true,false,unclaimed,Spitalgass-Passage 16,3011,artigiano-pizzeria-napoletana-bern,5b8f485d-c1ce-4e3b-a138-206d00c26859,
berne,Berne,Atarashii Sushi,japonais,3,3.6,5,+41 31 311 21 21,,,true,false,unclaimed,Aarbergergasse 44,3011,atarashii-sushi-bern,11208d59-c415-46b2-a398-a2f3812738a1,
berne,La Neuveville,Au Tonneau,suisse,2,5,5,+41 32 751 34 62,,,true,false,unclaimed,Rue Beauregard 10,2520,au-tonneau-la-neuveville,1ed205c6-2fce-4275-b5e6-26e0b46aeaf4,
berne,Langenthal,Baren Langenthal,suisse,2,4.8,5,+41 62 919 17 17,,,true,false,unclaimed,St. Urbanstrasse 1,4900,baren-langenthal,202f4d8b-90af-458f-9b03-553db4953c13,
berne,Bienne,Bluma Bar & Restaurant,suisse,2,4.4,94,+41 32 551 00 98,,https://www.bluma-restaurant.ch/,true,false,unclaimed,Esplanade du Palais des Congres 15,2502,bluma-bar-et-restaurant,d354c3ee-156c-4b44-a8bd-817a34893a69,
berne,Berne,Brasserie Obstberg,francais,2,4.4,5,+41 31 352 04 40,info@brasserie-obstberg.ch,https://brasserie-obstberg.ch,true,false,unclaimed,Bantigerstrasse 18,3006,brasserie-obstberg-bern,6af66590-3038-45a5-a006-51217b6e3c6a,
berne,Berne,Brasserie VUE,francais,4,5,5,+41 31 320 45 45,info@bellevue-palace.ch,https://bellevue-palace.ch,true,false,unclaimed,Kochergasse 3,3011,brasserie-vue-bern,b8414169-49ec-4053-b995-bb4ddfea7d64,
berne,Berne,Burrito Bandito,mexicain,1,4.8,5,+41 31 311 91 91,,,true,false,unclaimed,Neuengasse 8,3011,burrito-bandito-bern,fba9f7e7-b901-42c7-8bac-f04d3b31a35a,
berne,Thun,Chillounge GmbH,americain,2,4.3,1031,+41 33 221 43 59,,https://www.chilloungethun.ch/,true,false,unclaimed,Obere Hauptgasse 38,3600,chillounge-gmbh,004bae64-90a4-4087-96df-d0e9d3a55b3b,
berne,Bern,COLORZ Kitchen @Turbo Lama,vegetarien,2,4.6,79,+41 31 331 00 91,,,true,false,unclaimed,Hilfikerstrasse 4,3014,colorz-kitchen-turbo-lama,4cc1c820-f60a-4dd8-9975-f7bb28a6f3ca,
berne,Biel/Bienne,Crêperie Bach et Buck,francais,1,3.8,5,+41 32 322 21 00,,,true,false,unclaimed,Rue du Bourg 17,2502,creperie-bach-et-buck-bienne,0662999e-2f77-4a9b-bd13-e741eb3834d5,
berne,Thun,Cretan Garden,suisse,2,4.8,327,+41 33 552 79 93,info@cretan-garden.ch,https://www.cretan-garden.ch/,true,false,unclaimed,Untere Hauptgasse 11,3600,cretan-garden,77fa1799-8608-4153-8938-1c583eb144d6,
berne,Burgdorf,Da Gino,italien,2,3.8,4,+41 34 422 35 18,,,true,false,unclaimed,Rutschelengasse 17,3400,da-gino-burgdorf,cc2af9f4-80c4-4f98-9275-2d57961788bf,
berne,Bern,Da Vinci,italien,2,4.1,1703,+41 31 311 37 37,info@ristorantedavinci.ch,http://www.ristorantedavinci.ch/,true,false,unclaimed,Spitalgasse 2,3011,da-vinci,6d26a6eb-819b-4cdb-a0a6-68f626016418,
berne,Thun,Dua ristorante e vinoteca,italien,2,4.8,61,+41 33 453 32 32,,,true,false,unclaimed,Freienhofgasse 12,3600,dua-ristorante-e-vinoteca,efd44f51-8d59-4230-ac03-fef8bef895a7,
berne,Thun,"Friends ""Culinary Fusion""",suisse,2,4.5,150,+41 33 333 29 29,,https://www.friendsthun.ch/,true,false,unclaimed,Obere Hauptgasse 28,3600,friends-culinary-fusion,ad1c64ea-9e7a-42ae-9151-991c87efc54e,
berne,Burgdorf,Gourmet Kitchen - Spanische Weinhalle,espagnol,3,4.8,5,+41 34 422 32 88,,,true,false,unclaimed,Schmiedengasse 1,3400,gourmet-kitchen-burgdorf,add8accf-a6d8-4fd9-bc51-0986bf03176d,
berne,Interlaken,Grand Café Restaurant Schuh,suisse,3,2.6,5,+41 33 888 80 50,,,true,true,unclaimed,Hoheweg 56,3800,grand-cafe-schuh-interlaken,9eb4ee84-bcc1-4086-8d31-f257a7b3a27b,
berne,Interlaken,Hopplá Bistro,suisse,2,4.8,661,+41 79 616 86 95,,,true,false,unclaimed,Jungfraustrasse 74,3800,hoppl-bistro,75bff44f-7f4c-4796-ad0b-481451de3e39,
berne,Interlaken,Hôtel Restaurant Krebs,suisse,3,4,5,+41 33 826 03 30,,,true,false,unclaimed,Bahnhofstrasse 4,3800,hotel-restaurant-krebs-interlaken,373e65bf-cc35-43c1-a3de-5560b4f51a99,
berne,Interlaken,India Village,indien,2,5,5,+41 33 822 04 44,,,true,false,unclaimed,Brienzstrasse 38,3800,india-village-interlaken,b7205db1-9811-4345-bec0-82cd866a8ed7,
berne,Berne,Jack s Brasserie,francais,2,4,5,+41 31 326 80 80,info@schweizerhofbern.com,https://schweizerhofbern.com,true,false,unclaimed,Bahnhofplatz 11,3001,jacks-brasserie-bern,49a55a01-89a0-49e7-bc1d-71d6c1aace84,
berne,Berne,Klosterli Weincafe,suisse,2,4.8,5,+41 31 311 74 56,,,true,false,unclaimed,Klosterlistutz 16,3011,klosterli-weincafe-bern,fc9bf720-b2ea-4e5c-8af2-a0e3a23958ab,
berne,Berne,Kornhauskeller,suisse,3,4.4,5,+41 31 327 72 72,info@kornhaus-bern.ch,https://kornhaus-bern.ch,true,true,unclaimed,Kornhausplatz 18,3011,kornhauskeller-bern,16ad4065-2ac6-4ef5-967a-6849b7e4f592,
berne,Bienne,L'Osteria,italien,2,4.3,3554,+41 32 326 70 70,,https://losteria.net/de/restaurants/restaurant/biel-bienne/?utm_source=google&utm_medium=Yext,true,false,unclaimed,Rue de la Gare 14,2502,losteria,7a6c6f5b-2c25-4342-9c04-a400963dfb50,
berne,Langenthal,La Piazzetta,italien,2,5,5,+41 62 922 14 05,,,true,false,unclaimed,Muhleweg 11,4900,la-piazzetta-langenthal,d5847db9-b606-4612-8766-13775db78160,
berne,Moutier,Le Tabou,mediterraneen,2,4.2,5,+41 32 493 61 71,bartabou@gmail.com,https://le-tabou.ch,true,false,unclaimed,Rue de la Prevote 9,2740,le-tabou-moutier,7067ef52-9e69-4554-ab0f-2302f65a0d0e,
berne,Bienne,Le Time Restaurant Bar,suisse,2,4.8,586,+41 32 392 88 88,,http://letime-restaurant-bar.ch/,true,false,unclaimed,Pl. de la Gare 1,2502,le-time-restaurant-bar,a4d2eb56-6c62-4765-809e-494a9adb9cb3,
berne,Bienne,Les Caves,suisse,2,4.4,1169,+41 32 338 70 70,,https://lescaves.ch/,true,false,unclaimed,Rue Haute 24,2502,les-caves,35f82e66-4730-4ef8-affb-73cf92ee64bb,
berne,Berne,Luce,italien,2,5,5,+41 31 311 61 51,,,true,false,unclaimed,Bubenbergplatz 7,3011,restaurant-luce-bern,80442243-4062-4950-8f4d-78775e80f36a,
berne,Biel/Bienne,Maharaja Palace,indien,2,3.8,5,+41 32 344 78 82,,,true,false,unclaimed,Rue du General-Dufour 31,2502,maharaja-palace-bienne,c0ff769d-c61d-4630-b67a-757299f4b32d,
berne,Thun,Migros Restaurant - Thun - Oberland,vegetarien,2,4.1,360,+41 58 567 18 00,,https://filialen.migros.ch/de/migros-restaurant-thun-oberland,true,false,unclaimed,Talackerstrasse 62,3604,migros-restaurant-thun-oberland,d28d0829-636f-4720-9f26-d91316f81c97,
berne,Berne,Mille Sens,gastronomique,3,4.8,5,+41 31 329 29 29,info@millesens.ch,https://millesens.ch,true,false,unclaimed,Spitalgasse 38,3011,mille-sens-bern,1ef22073-8989-41cb-9a28-0f58aa6b0a5d,
berne,Thun,Mulan China Restaurant,chinois,2,5,5,+41 33 223 22 88,,,true,false,unclaimed,Buchholzstrasse 45,3604,mulan-china-restaurant-thun,f3cde024-69a6-425d-b7a8-c586fe49e1cc,
berne,Berne,Noumi Grill and Bar,francais,3,5,5,+41 31 320 46 64,,https://noumi.ch,true,false,unclaimed,Kochergasse 3,3011,noumi-bern,73ffbeaa-57c0-4905-aafe-1c54554555fe,
berne,Bienne,Original,suisse,2,4.9,114,+41 78 947 39 25,info@originalcooking.ch,http://www.originalcooking.ch/,true,false,unclaimed,Rue des Maréchaux 16,2502,original,9c08dc56-22e9-45a1-9fb7-8ecbba8d0995,
berne,Interlaken,Panoramic Viewpoint - Harder Kulm,suisse,2,4.6,8289,+41 33 828 73 11,,https://www.restaurantharderkulm.ch/de/index.html,true,false,unclaimed,Harderkulm,3800,panoramic-viewpoint-harder-kulm,e98882bc-6e44-413f-adf7-94550119defd,
berne,Biel,Pfauen: Casa Loa & Caffè Alessandra,vegetarien,2,4.9,69,+41 32 342 19 20,info@casaloa.com,http://www.casaloa.com/,true,false,unclaimed,Ring 7,2502,pfauen-casa-loa--caffe-alessandra,e79b950f-9f72-490a-80f0-a55a6acc3d27,
berne,Bern,Pizzeria da Nino,italien,2,4.8,1481,+41 31 371 11 31,info@pizzeriadanino.ch,http://pizzeriadanino.ch/,true,false,unclaimed,Belpstrasse 65,3007,pizzeria-da-nino,feff5178-3dfe-4de4-9692-88013dae3c53,
berne,Berne,Pizzeria Da Nino,italien,1,4.4,5,+41 31 371 11 31,info@pizzeriadanino.ch,https://pizzeriadanino.ch,true,false,unclaimed,Belpstrasse 65,3007,da-nino-bern,7fb1ee73-5d08-4ff6-9a86-c04dcbc5784d,
berne,Biel/Bienne,Restaurant Barrique,gastronomique,3,3.4,5,+41 32 328 68 23,,,true,false,unclaimed,Neumarktstrasse 40,2502,restaurant-barrique-bienne,31813a26-d97d-4568-9acb-845d3b450d03,
berne,Thun,Restaurant Beau Rivage,italien,2,4.6,2164,+41 33 221 41 10,,http://beau-rivage-thun.ch/,true,false,unclaimed,Hofstettenstrasse 6,3600,restaurant-beau-rivage,aee53fca-37d2-49c5-b8af-25d8d107baa4,
berne,Thun,Restaurant Burehuus,suisse,2,4.5,670,+41 33 224 08 08,info@burehuus.ch,http://www.burehuus.ch/,true,false,unclaimed,Frutigenstrasse 44,3600,restaurant-burehuus,5148caa1-5384-47bd-8785-e589c9f154f3,
berne,Berne,Restaurant Casino Bern,suisse,2,4.6,5,+41 31 328 02 00,info@casinobern.ch,https://casinobern.ch,true,false,unclaimed,Casinoplatz 1,3011,restaurant-casino-bern,164c71ff-add7-46d8-8b46-aad43c75c60c,
berne,Moutier,Restaurant de l Ours,suisse,2,3.8,5,+41 32 536 06 31,info@ours-moutier.ch,https://ours-moutier.ch,true,false,unclaimed,Passage de l Ours 1,2740,restaurant-de-lours-moutier,772a2ef2-7034-4016-8081-fe32b1b4e452,
berne,Interlaken,Restaurant des Alpes Interlaken,suisse,2,4.1,510,+41 33 828 81 81,info@desalpesinterlaken.ch,https://desalpesinterlaken.ch/,true,false,unclaimed,Höheweg 115,3800,restaurant-des-alpes-interlaken,573e3840-7876-4bc9-9287-f950f762b046,
berne,Tavannes,Restaurant des Caveaux,francais,2,4.2,5,+41 32 481 51 28,,,false,false,unclaimed,Rue du General-Voirol 4,2710,restaurant-des-caveaux-tavannes,ff242335-42c8-44cd-9a9e-790895fe8aa7,
berne,Bienne,Restaurant du Bourg,suisse,2,4.8,218,+41 32 322 26 06,info@du-bourg.ch,http://www.du-bourg.ch/,true,false,unclaimed,Rue du Bourg 12,2502,restaurant-du-bourg,dda24228-cbcf-46e2-940e-680345a2b929,
berne,Biel,Restaurant du Lac,suisse,2,4.6,703,+41 32 322 37 77,info@dulac-biel.ch,http://www.dulac-biel.ch/,true,false,unclaimed,Neuenburgstrasse 58,2505,restaurant-du-lac,e5149aa0-0b80-48f4-893b-fd9ea3816d3a,
berne,Thun,Restaurant Fuurgassli,suisse,3,5,5,+41 33 221 78 71,,,true,false,unclaimed,Obere Hauptgasse 54,3600,restaurant-fuurgassli-thun,c4842636-f9da-4b47-9440-d914dff8e088,
berne,Thun,Restaurant Füürgässli,suisse,2,4.9,389,+41 33 221 78 71,,https://feuergasse.ch/,true,false,unclaimed,Eingang am Aarequai,3600,restaurant-fuurgassli,b1baeaef-4622-4010-9098-5c44990232cf,
berne,Bienne,Restaurant L'Opéra Biel/Bienne,suisse,2,4.7,112,+41 32 310 71 52,alain.wyss@juragourmand.ch,https://juragourmand.ch/opera,true,false,unclaimed,Rue Jakob-Stämpfli 2,2502,restaurant-lopera-bielbienne,49187b42-ad25-4ca5-be84-88b3b33088c4,
berne,Tramelan,Restaurant Le Galileo,suisse,2,4.8,5,+41 32 486 06 06,,,true,false,unclaimed,Chemin des Lovieres 13,2720,restaurant-le-galileo-tramelan,307da184-75c9-4b1a-ab6b-c9fcf6f1e121,
